League,Home,Away,Home Score,Away Score,Home xG,Away xG,Home League Score,Away League Score,Home Scorers,Away Scorers,Home Penalty Scorers,Away Penalty Scorers,Home Own Goal Scorers,Away Own Goal Scorers,Home Goals Minutes,Away Goals Minutes,Home Penalty Goals Minutes,Away Penalty Goals Minutes,Home Own Goal Minutes,Away Own Goal Minutes,Home Manager,Away Manager,Home Captain,Away Captain,Date,Venue Time,Attendance,Venue,Referee,AR1,AR2,Fourth Official,VAR,Home Formation,Away Formation,Home First Squad,Away First Squad,Home Bench,Away Bench,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Crosses,Away Crosses,Home Touches,Away Touches,Home Tackles,Away Tackles,Home Interceptions,Away Interceptions,Home Aerials Won,Away Aerials Won,Home Clearances,Away Clearances,Home Offsides,Away Offsides,Home Goal Kicks,Away Goal Kicks,Home Throw Ins,Away Throw Ins,Home Long Balls,Away Long Balls,Home Yellow Cards,Home Red Cards,Away Yellow Cards,Away Red Cards
Ligue 1,Monaco,Nantes,1,1,1.5,0.2,0-1-0,0-1-0,['Gelson Martins'],['Jean-Charles Castelletto'],[],[],[],[],['14’'],['42’'],[],[],[],[],Niko Kovač,Antoine Kombouare,Axel Disasi,Alban Lafont,8/6/2021,21:00,7500,"Stade Louis II., Monaco",Antony Gautier,Mehdi Rahmouni,Alexandre Viala,Remi Landry,Wilfried Bien,4/4/2002,4-1-4-1,"['Alexander Nübel', 'Benoît Badiashile', 'Axel Disasi', 'Gelson Martins', 'Aurélien Tchouaméni', 'Myron Boadu', 'Jean Lucas', 'Caio Henrique Oliveira Silva', 'Ruben Aguilar', 'Kevin Volland', 'Sofiane Diop']","['Alban Lafont', 'Fábio', 'Andrei Girotto', 'Nicolas Pallois', 'Roli Pereira de Sa', 'Ludovic Blas', 'Dennis Appiah', 'Samuel Moutoussamy', 'Jean-Charles Castelletto', 'Randal Kolo Muani', 'Moses Simon']","['Radosław Majecki', 'Cesc Fàbregas', 'Wissam Ben Yedder', 'Ismail Jakobs', 'Aleksandr Golovin', 'Djibril Sidibé', 'Strahinja Pavlović', 'Youssouf Fofana', 'Eliot Matazo']","['Rémy Descamps', 'Marcus Coco', 'Charles Traore', 'Anthony Limbombe', 'Sébastien Corchia', 'Renaud Emond', 'Quentin Merlin', 'Abdoulaye Sylla']",6,14,5,2,20,7,895,393,20,19,11,14,15,14,6,27,1,0,5,15,34,23,62,67,0,0,0,0
Ligue 1,Lyon,Brest,1,1,1.4,0.8,0-1-0,0-1-0,['Islam Slimani'],['Irvin Cardona'],[],[],[],[],['62’'],['43’'],[],[],[],[],Peter Bosz,Michel Der Zakarian,Leo Dubois,Brendan Chardonnet,8/7/2021,17:00,29018,"Groupama Stadium, Décines-Charpieu",Mikael Lesage,Huseyin Ocak,Mohamed Benkemouche,Mathieu Vernice,Bruno Coué,4/3/2003,4-2-3-1,"['Anthony Lopes', 'Castello Lukeba', 'Marcelo', 'Karl Toko Ekambi', 'Houssem Aouar', 'Moussa Dembélé', 'Leo Dubois', 'Malo Gusto', 'Rayan Cherki', 'Thiago Mendes', 'Maxence Caqueret']","['Marco Bizot', 'Lilian Brassier', 'Brendan Chardonnet', 'Haris Belkebla', 'Franck Honorat', 'Irvin Cardona', 'Steve Mounié', 'Ronaël Pierre-Gabriel', 'Jere Uronen', 'Romain Faivre', 'Hianga Mananga Mbock']","['Julian Pollersbeck', 'Sinaly Diomande', 'Lucas Paquetá', 'Tino Kadewere', 'Habib Keita', 'Islam Slimani', 'Florent da Silva', 'Gael Nsombi']","['Gautier Larsonneur', 'Grégoire Coudert', 'Jean-Kevin Duverne', 'Romain Philippoteaux', 'Dénys Bain', 'Julien Faussurier', 'Jérémy Le Douaron', 'Hugo Magnetti', 'Noé Sow']",10,12,9,4,23,14,841,462,16,16,7,15,16,18,11,26,1,1,5,10,25,26,55,72,1,0,1,0
Ligue 1,Troyes,Paris Saint-Germain,1,2,0.9,1.2,0-0-1,1-0-0,['Oualid El Hajjam'],"['Achraf Hakimi', 'Mauro Icardi']",[],[],[],[],['10’'],"['19’', '21’']",[],[],[],[],Laurent Batlles,Mauricio Pochettino,Jimmy Giraudon,Presnel Kimpembe,8/7/2021,21:00,15248,"Stade de l'Aube, Troyes",Amaury Delerue,Guillaume Debart,Erwan Finjean,Guillaume Paradis,Pierre Gaillouste,5/4/2001,4/4/2002,"['Gauthier Gallon', 'Youssouf Koné', 'Rominigue Kouamé', 'Yoann Touzghar', 'Jimmy Giraudon', 'Florian Tardieu', 'Dylan Chambost', 'Karim Azamoum', 'Oualid El Hajjam', 'Renaud Ripart', 'Issa Kaboré']","['Keylor Navas', 'Achraf Hakimi', 'Presnel Kimpembe', 'Kylian Mbappé', 'Mauro Icardi', 'Danilo Pereira', 'Georginio Wijnaldum', 'Ander Herrera', 'Abdou Diallo', 'Julian Draxler', 'Thilo Kehrer']","['Jessy Moulin', 'Levi Lumeka', 'Mykola Kukharevych', 'Filip Krastev', 'Mama Samba Baldé', 'Brandon Domingues', 'Rudy Kohon', 'Tanguy Zoukrou', 'Derek Mazou-Sacko']","['Sergio Rico', 'Rafinha', 'Pablo Sarabia', 'Layvin Kurzawa', 'Arnaud Kalimuendo', 'El Chadaille Bitshiabu', 'Nathan Bitu Mazala', 'Junior Dina Ebimbe', 'Edouard Michut']",3,15,9,1,26,12,586,757,17,10,8,14,2,10,14,19,1,1,8,6,23,11,72,42,1,0,4,0
Ligue 1,Rennes,Lens,1,1,0.7,2.1,0-1-0,0-1-0,['Kamaldeen Sulemana'],['Seko Fofana'],[],[],[],[],['14’'],['19’'],[],[],[],[],Bruno Génésio,Franck Haise,Hamari Traoré,Seko Fofana,8/8/2021,13:00,22567,"Roazhon Park, Rennes",Bastien Dechepy,Brice Parinet-Le Tellier,Alexis Auger,Samir Zolota,Romain Lissorgue,4/3/2003,3-4-1-2,"['Alfred Gomis', 'Loïc Bade', 'Nayef Aguerd', 'Martin Terrier', 'Eduardo Camavinga', 'Benjamin Bourigeaud', 'Kamaldeen Sulemana', 'Flavien Tait', 'Birger Meling', 'Hamari Traoré', 'Lesley Ugochukwu']","['Jean-Louis Leca', 'Deiver Machado', 'Christopher Wooh', 'Seko Fofana', 'Ignatius Ganago', 'Gaël Kakuta', 'Jonathan Clauss', 'Steven Fortes', 'Ismaëlben Boura', 'Simon Banza', 'Cheick Doucouré']","['Romain Salin', 'Serhou Guirassy', 'Jeremy Doku', 'Faitout Maouassa', 'Romain Del Castillo', 'Lorenz Assignon', 'Warmed Omari', 'Matthis Abline', 'Andy Diouf']","['Wuilker Faríñez', 'Kevin Danso', 'Florian Sotoca', 'Yannick Cahuzac', 'David Pereira da Costa', 'Corentin Jean', 'Przemysław Frankowski', 'Mohamed Cissé', 'Jonathan Varane']",10,14,3,9,13,22,657,483,15,18,7,5,9,11,18,15,0,0,7,7,17,20,76,74,0,0,2,0
Ligue 1,Bordeaux,Clermont Foot,0,2,0.7,3.1,0-0-1,1-0-0,[],"['Mohamed Lamine Bayo', 'Jodel Dossou']",[],[],[],[],[],"['82’', '90+3’']",[],[],[],[],Vladimir Petković,Pascal Gastien,Laurent Koscielny,Florent Ogier,8/8/2021,15:00,18748,"Stade Matmut-Atlantique, Bordeaux",Florent Batta,Julien Aube,Laurent Coniglio,Gaël Angoula,Bruno Coué,4-2-3-1,4-2-3-1,"['Benoît Costil', 'Mexer', 'Laurent Koscielny', 'Jimmy Briand', 'Samuel Kalu', 'Yacine Adli', 'Issouf Sissokho', 'Loris Benito', 'Enock Kwateng', 'Toma Bašić', 'Remi Oudin']","['Arthur Desmas', 'Cédric Hountondji', 'Jason Berthomier', 'Jim Allevinah', ""Vital N'Simba"", 'Salis Abdul Samed', 'Akim Zedadka', 'Florent Ogier', 'Jodel Dossou', 'Johan Gastien', 'Mohamed Lamine Bayo']","['Gaëtan Poussin', 'Raoul Bellanova', 'Abdel Jalil Medioub', 'Otávio', 'Sekou Mara', 'Mehdi Zerkane', 'Loïc Bessile', 'Amadou Traore', 'Dilane Bakwa']","['Ouparine Djoco', 'Julien Boyer', 'Jordan Tell', 'Jonathan Iglesias', 'Arial Mendy', 'Josué Albert', 'Elba Rashani', 'Bryan Teixeira', 'Alidu Seidu']",13,9,5,10,18,20,601,709,19,18,11,9,10,18,24,13,0,2,6,5,19,23,66,67,1,0,0,0
Ligue 1,Strasbourg,Angers,0,2,0.3,0.9,0-0-1,1-0-0,[],"['Ismaël Traoré', 'Stéphane Bahoken']",[],[],[],[],[],"['57’', '81’']",[],[],[],[],Julien Stéphan,Gérald Baticle,Dimitri Liénard,Ismaël Traoré,8/8/2021,15:00,23250,"Stade de la Meinau, Strasbourg",Jeremy Stinat,Philippe Jeanne,Christophe Mouysset,William Toulliou,Nicolas Rainville,4/4/2002,3-4-1-2,"['Matz Sels', 'Karol Fila', 'Abdul Majeed Waris', 'Adrien Thomasson', 'Dimitri Liénard', 'Jean-Ricner Bellegarde', 'Anthony Caci', 'Habib Diallo', 'Alexander Djiku', 'Ludovic Ajorque', 'Ibrahima Sissoko']","['Paul Bernardoni', 'Souleyman Doumbia', 'Thomas Mangani', 'Ismaël Traoré', 'Angelo Fulgini', 'Jimmy Cabot', 'Sofiane Boufal', 'Mohamed Ali Cho', 'Romain Thomas', 'Waniss Taibi', 'Vincent Manceau']","['Eiji Kawashima', 'Lucas Perrin', 'Jean-Eudes Aholou', 'Kévin Gameiro', 'Sanjin Prcić', 'Mahame Siby', 'Mehdi Chahiri', 'Marvin Senaya', 'Aymeric Ahmed']","['Danijel Petković', 'Rachid Alioui', 'Casimir Ninga', 'Noah Fatar', 'Stéphane Bahoken', 'Sada Thioub', 'Antonin Bobichon', 'Abdoulaye Bamba', 'Mathias Pereira Lage']",18,18,5,4,24,9,690,554,27,18,8,11,16,13,10,28,3,2,5,9,32,20,95,77,2,0,3,0
Ligue 1,Nice,Reims,0,0,0.8,0.2,0-1-0,0-1-0,[],[],[],[],[],[],[],[],[],[],[],[],Christophe Galtier,Óscar García,Dante,Yunis Abdelhamid,8/8/2021,15:00,18030,"Stade de Nice, Nice",Johan Hamel,Mathieu Grosbost,Aurélien Berthomieu,Abdelatif Kherradji,Wilfried Bien,4/4/2002,5/3/2002,"['Walter Benítez', 'Dante', 'Pablo Rosario', 'Amine Gouiri', 'Hassane Kamara', 'Dan Ndoye', 'Khéphren Thuram', 'Youcef Atal', 'Justin Kluivert', 'Jean-Clair Todibo', 'Lucas Da Cunha']","['Predrag Rajković', 'Wout Faes', 'Ghislain Konan', 'Yunis Abdelhamid', 'Andrew Gravillon', 'Xavier Chavalerin', 'Kaj Sierhuis', 'Nathanael Mbuku', 'Marshall Munetsi', 'Mathieu Cafaro', 'Thomas Foket']","['Marcin Bułka', 'Robson Bambu', 'Flavius Daniliuc', 'Myziane Maolida', 'Kasper Dolberg', 'Mario Lemina', 'Jordan Lotomba', 'Melvin Bard', 'Hicham Boudaoui']","['Nicolas Penneteau', 'Alexis Flips', 'Valon Berisha', 'Bilal Brahimi', 'Ilan Kebbal', 'Hugo Ekitike', 'Moreto Cassamã', 'Dion Lopy', 'Bradley Locko']",10,8,4,2,14,8,685,479,21,18,11,11,14,12,7,19,0,0,4,10,18,20,60,65,1,0,1,0
Ligue 1,Saint-Étienne,Lorient,1,1,1.9,0.6,0-1-0,0-1-0,[],['Vincent Le Goff'],['Wahbi Khazri'],[],[],[],[],['52’'],['70’'],[],[],[],Claude Puel,Christophe Pélissier,Mahdi Camara,Fabien Lemoine,8/8/2021,15:00,20461,"Stade Geoffroy-Guichard, Saint-Étienne",Thomas Léonard,Gilles Lang,Stephan Luzi,Faouzi Benchabane,Christian Guillard,4-4-1-1,5/3/2002,"['Etienne Green', 'Harold Moukoudi', 'Timothée Kolodziejczak', 'Mahdi Camara', 'Charles Abi', 'Wahbi Khazri', 'Adil Aouchiche', 'Denis Bouanga', 'Yvann Macon', 'Zaydou Youssouf', 'Mickael Nade']","['Paul Nardi', 'Igor Carioca', 'Laurent Abergel', 'Enzo Le Fée', 'Terem Moffi', 'Julien Laporte', 'Houboulang Mendes', 'Fabien Lemoine', 'Jérémy Morel', 'Vincent Le Goff', 'Armand Lauriente']","['Stefan Bajic', 'Saidou Sow', 'Ryad Boudebouz', 'Gabriel Silva', 'Jean-Philippe Krasso', 'Arnaud Nordin', 'Romain Hamouma', 'Assane Dioussé', 'Bryan Djile Nokoué']","['Matthieu Dreyer', 'Thomas Fontaine', 'Jérôme Hergault', 'Samuel Loric', 'Thomas Monconduit', 'Adrian Grbić', 'Pierre-Yves Hamel', 'Redwan Bourles', 'Dango Ouattara']",10,14,8,4,29,14,742,523,23,23,12,10,17,13,13,26,0,1,7,12,22,15,76,71,2,0,3,0
Ligue 1,Metz,Lille,3,3,0.9,1.3,0-1-0,0-1-0,"['Fabien Centonze', 'Matthieu Udol', 'Fabien Centonze']","['Sven Botman', 'Jonathan Ikone']",[],[],[],['Alexandre Oukidja'],"['31’', '41’', '52’']","['23’', '81’']",[],[],[],['90+7’'],Frédéric Antonetti,Jocelyn Gourvennec,Dylan Bronn,José Fonte,8/8/2021,17:00,15551,"Stade Saint-Symphorien, Longeville-lès-Metz",Eric Wattellier,Mikael Berchebru,Gwenaël Pasqualotti,Ahmed Taleb,Dominique Julien,3-4-1-2,4/4/2002,"['Alexandre Oukidja', 'Dylan Bronn', 'Matthieu Udol', ""Kévin N'Doram"", 'Ibrahima Niane', 'Cheikh Tidiane Sabaly', 'Pape Matar Sarr', 'Thomas Delaine', 'Fabien Centonze', 'Habib Maïga', 'Boubakar Kouyaté']","['Léo Jardim', 'Zeki Çelik', 'Sven Botman', 'José Fonte', 'Jonathan Bamba', 'Jonathan David', 'Yusuf Yazıcı', 'Burak Yılmaz', 'Renato Sanches', 'Benjamin André', 'Reinildo Mandava']","['Marc-Aurèle Caillard', 'Mamadou Fofana', 'Boubacar Traoré', 'Georges Mikautadze', 'Lamine Gueye', 'Amine Bassi', 'Sofiane Alakouch', 'Lenny Joseph', 'Vagner Gonçalves']","['Adam Jakubech', 'Jonathan Ikone', 'Isaac Lihadji', 'Timothy Weah', 'Amadou Onana', 'Jérémy Pied', 'Cheikh Niasse', 'Domagoj Bradarić', 'Rocco Ascone']",9,10,4,5,18,24,512,709,16,21,19,10,15,16,14,17,0,2,10,3,22,28,69,58,1,1,2,0
Ligue 1,Montpellier,Marseille,2,3,0.6,1.9,0-0-1,1-0-0,['Gaëtan Laborde'],"['Cengiz Ünder', 'Dimitri Payet', 'Dimitri Payet']",[],[],['Luan Peres Petroni'],[],['34’'],"['68’', '75’', '80’']",[],[],['30’'],[],Olivier Dall’Oglio,Jorge Sampaoli,Andy Delort,Steve Mandanda,8/8/2021,20:45,13500,"Stade de la Mosson, Montpellier",Jérémie Pignard,Frédéric Haquette,Bastien Courbet,Hakim Ben El Hadj Salem,Alexandre Castro,4-2-3-1,3-2-4-1,"['Dimitry Bertaud', 'Junior Sambia', 'Andy Delort', 'Gaëtan Laborde', 'Jordan Ferri', 'Joris Chotard', 'Elye Wahi', 'Florent Mollet', 'Thuler', 'Nicolas Cozza', 'Maxime Estève']","['Steve Mandanda', 'William Saliba', 'Boubacar Kamara', 'Leonardo Balerdi', 'Mattéo Guendouzi', 'Gerson', 'Dimitri Payet', 'Luan Peres Petroni', 'Cengiz Ünder', 'Konrad De La Fuente', 'Pape Gueye']","['Matis Carvalho', 'Arnaud Souquet', 'Mihailo Ristić', 'Léo Leroy', 'Stephy Mavididi', 'Mathías Suárez', 'Béni Makouana', 'Petar Škuletić', 'Sacha Delaye']","['Simon Ngapandouetnbu', 'Nemanja Radonjić', 'Darío Benedetto', 'Luis Henrique', 'Bamba Dieng', 'Valentin Rongier', 'Jordan Amavi', 'Oussama Targhalline', 'Bilal Nadir']",10,5,6,11,22,28,510,688,19,11,12,15,12,14,19,15,1,1,11,10,15,15,70,57,0,0,1,0
Ligue 1,Lorient,Monaco,1,0,0.8,1.1,1/1/2000,0-1-1,[],[],['Terem Moffi'],[],[],[],[],[],['31’'],[],[],[],Christophe Pélissier,Niko Kovač,Fabien Lemoine,Axel Disasi,8/13/2021,21:00,12149,"Stade Yves Allainmat - Le Moustoir, Lorient",Hakim Ben El Hadj Salem,Mohamed Benkemouche,Brice Parinet-Le Tellier,Marc Bollengier,Jérémie Pignard,5/3/2002,3/4/2003,"['Paul Nardi', 'Igor Carioca', 'Laurent Abergel', 'Terem Moffi', 'Julien Laporte', 'Houboulang Mendes', 'Fabien Lemoine', 'Jérémy Morel', 'Thomas Monconduit', 'Vincent Le Goff', 'Armand Lauriente']","['Alexander Nübel', 'Axel Disasi', 'Gelson Martins', 'Aurélien Tchouaméni', 'Myron Boadu', 'Jean Lucas', 'Ismail Jakobs', 'Djibril Sidibé', 'Strahinja Pavlović', 'Kevin Volland', 'Sofiane Diop']","['Matthieu Dreyer', 'Thomas Fontaine', 'Enzo Le Fée', 'Jérôme Hergault', 'Adrian Grbić', 'Pierre-Yves Hamel', 'Redwan Bourles', 'Dango Ouattara', 'Bamo Meïté']","['Radosław Majecki', 'Guillermo Maripán', 'Cesc Fàbregas', 'Wissam Ben Yedder', 'Caio Henrique Oliveira Silva', 'Aleksandr Golovin', 'Youssouf Fofana', 'Ruben Aguilar', 'Krépin Diatta']",17,15,0,6,3,28,413,803,23,29,13,15,14,17,41,6,0,1,10,2,23,32,71,95,3,0,2,0
Ligue 1,Lille,Nice,0,4,0.8,1.9,0-1-1,1/1/2000,[],"['Kasper Dolberg', 'Hicham Boudaoui', 'Kasper Dolberg']",[],['Amine Gouiri'],[],[],[],"['1’', '5’', '64’']",[],['45+4’'],[],[],Jocelyn Gourvennec,Christophe Galtier,José Fonte,Dante,8/14/2021,17:00,30144,"Stade Pierre-Mauroy, Villeneuve-d'Ascq",Jérôme Brisard,Benjamin Pagès,Alexis Auger,Benjamin Lepaysant,Bastien Dechepy,4/4/2002,4/4/2002,"['Léo Jardim', 'Zeki Çelik', 'Sven Botman', 'José Fonte', 'Jonathan Bamba', 'Jonathan Ikone', 'Yusuf Yazıcı', 'Burak Yılmaz', 'Benjamin André', 'Timothy Weah', 'Reinildo Mandava']","['Walter Benítez', 'Dante', 'Pablo Rosario', 'Kasper Dolberg', 'Amine Gouiri', 'Mario Lemina', 'Youcef Atal', 'Justin Kluivert', 'Jean-Clair Todibo', 'Melvin Bard', 'Hicham Boudaoui']","['Adam Jakubech', 'Jonathan David', 'Isaac Lihadji', 'Angel Gomes', 'Amadou Onana', 'Jérémy Pied', 'Cheikh Niasse', 'Domagoj Bradarić', 'Jean Onana']","['Marcin Bułka', 'Flavius Daniliuc', 'Myziane Maolida', 'Hassane Kamara', 'Dan Ndoye', 'Khéphren Thuram', 'Jordan Lotomba', 'Lucas Da Cunha', 'Justin Smith']",9,13,8,7,18,11,756,517,14,21,7,17,13,16,14,21,1,1,8,9,30,18,70,58,3,0,1,0
Ligue 1,Paris Saint-Germain,Strasbourg,4,2,3.1,0.7,2-0-0,0-0-2,"['Mauro Icardi', 'Julian Draxler', 'Pablo Sarabia']","['Kévin Gameiro', 'Ludovic Ajorque']",[],[],['Ludovic Ajorque'],[],"['3’', '27’', '86’']","['53’', '64’']",[],[],['25’'],[],Mauricio Pochettino,Julien Stéphan,Presnel Kimpembe,Dimitri Liénard,8/14/2021,21:00,46962,"Parc des Princes, Paris",Willy Delajod,Philippe Jeanne,Erwan Finjean,Arnaud Baert,Thomas Léonard,4/3/2003,5/3/2002,"['Keylor Navas', 'Achraf Hakimi', 'Presnel Kimpembe', 'Kylian Mbappé', 'Mauro Icardi', 'Georginio Wijnaldum', 'Ander Herrera', 'Abdou Diallo', 'Julian Draxler', 'Thilo Kehrer', 'Junior Dina Ebimbe']","['Matz Sels', 'Karol Fila', 'Lucas Perrin', 'Jean-Eudes Aholou', 'Kévin Gameiro', 'Dimitri Liénard', 'Sanjin Prcić', 'Jean-Ricner Bellegarde', 'Alexander Djiku', 'Ludovic Ajorque', 'Ibrahima Sissoko']","['Sergio Rico', 'Rafinha', 'Danilo Pereira', 'Pablo Sarabia', 'Arnaud Kalimuendo', 'El Chadaille Bitshiabu', 'Nathan Bitu Mazala', 'Ismaël Gharbi', 'Edouard Michut']","['Eiji Kawashima', 'Abdul Majeed Waris', 'Adrien Thomasson', 'Mahame Siby', 'Anthony Caci', 'Habib Diallo', 'Mehdi Chahiri', 'Marvin Senaya', 'Mouhamadou Diarra']",6,18,4,4,14,18,822,483,10,16,9,10,10,9,12,10,1,2,8,4,21,12,52,57,1,0,4,0
Ligue 1,Angers,Lyon,3,0,1.8,0.9,2-0-0,0-1-1,"['Sofiane Boufal', 'Azzedine Ounahi']",[],[],[],['Marcelo'],[],"['19’', '76’']",[],[],[],['53’'],[],Gérald Baticle,Peter Bosz,Ismaël Traoré,Leo Dubois,8/15/2021,13:00,6154,"Stade Raymond Kopa, Angers",Clément Turpin,Nicolas Danos,Cyril Gringore,Romain Delpech,Florent Batta,3-4-1-2,4/3/2003,"['Paul Bernardoni', 'Batista Mendy', 'Souleyman Doumbia', 'Thomas Mangani', 'Ismaël Traoré', 'Angelo Fulgini', 'Jimmy Cabot', 'Sofiane Boufal', 'Mohamed Ali Cho', 'Romain Thomas', 'Vincent Manceau']","['Anthony Lopes', 'Castello Lukeba', 'Marcelo', 'Karl Toko Ekambi', 'Houssem Aouar', 'Moussa Dembélé', 'Lucas Paquetá', 'Leo Dubois', 'Islam Slimani', 'Maxwel Cornet', 'Bruno Guimarães']","['Danijel Petković', 'Enzo Ebosse', 'Casimir Ninga', 'Pierrick Capelle', 'Azzedine Ounahi', 'Stéphane Bahoken', 'Sada Thioub', 'Waniss Taibi', 'Mathias Pereira Lage']","['Malcolm Barcola', 'Sinaly Diomande', 'Tino Kadewere', 'Henrique', 'Malo Gusto', 'Rayan Cherki', 'Thiago Mendes', 'Maxence Caqueret', 'Gael Nsombi']",11,17,6,4,17,19,530,651,28,28,11,11,9,12,13,17,1,0,4,10,17,14,60,72,1,0,5,0
Ligue 1,Clermont Foot,Troyes,2,0,1.9,0.7,2-0-0,0-0-2,"['Mohamed Lamine Bayo', 'Mohamed Lamine Bayo']",[],[],[],[],[],"['53’', '65’']",[],[],[],[],[],Pascal Gastien,Laurent Batlles,Florent Ogier,Jimmy Giraudon,8/15/2021,15:00,11005,"Stade Gabriel Montpied, Clermont-Ferrand",Romain Lissorgue,Stephan Luzi,Djemel Zitouni,Robin Chapapria,William Lavis,4-2-3-1,5/4/2001,"['Arthur Desmas', 'Cédric Hountondji', 'Jason Berthomier', 'Jim Allevinah', ""Vital N'Simba"", 'Salis Abdul Samed', 'Akim Zedadka', 'Florent Ogier', 'Jodel Dossou', 'Johan Gastien', 'Mohamed Lamine Bayo']","['Gauthier Gallon', 'Giulian Biancone', 'Rominigue Kouamé', 'Yoann Touzghar', 'Jimmy Giraudon', 'Florian Tardieu', 'Dylan Chambost', 'Yoann Salmier', 'Oualid El Hajjam', 'Renaud Ripart', 'Issa Kaboré']","['Ouparine Djoco', 'Julien Boyer', 'Jordan Tell', 'Jonathan Iglesias', 'Arial Mendy', 'Josué Albert', 'Elba Rashani', 'Bryan Teixeira', 'Alidu Seidu']","['Jessy Moulin', 'Levi Lumeka', 'Karim Azamoum', 'Mykola Kukharevych', 'Mama Samba Baldé', 'Brandon Domingues', 'Nassim Chadli', 'Tanguy Zoukrou']",6,11,9,2,27,13,758,484,9,19,6,5,4,9,11,20,2,0,4,10,18,12,60,57,1,0,3,0
Ligue 1,Brest,Rennes,1,1,1.9,1,0-2-0,0-2-0,['Jérémy Le Douaron'],['Serhou Guirassy'],[],[],[],[],['90+1’'],['84’'],[],[],[],[],Michel Der Zakarian,Bruno Génésio,Brendan Chardonnet,Hamari Traoré,8/15/2021,15:00,14271,"Stade Francis-Le Blé, Brest",Benoît Bastien,Hicham Zakrani,Aurélien Berthomieu,Mehdi Mokhtari,Wilfried Bien,4-2-3-1,4/3/2003,"['Marco Bizot', 'Lilian Brassier', 'Brendan Chardonnet', 'Franck Honorat', 'Irvin Cardona', 'Steve Mounié', 'Ronaël Pierre-Gabriel', 'Jere Uronen', 'Romain Faivre', 'Hugo Magnetti', 'Hianga Mananga Mbock']","['Alfred Gomis', 'Loïc Bade', 'Nayef Aguerd', 'Martin Terrier', 'Jeremy Doku', 'Benjamin Bourigeaud', 'Kamaldeen Sulemana', 'Flavien Tait', 'Birger Meling', 'Hamari Traoré', 'Lesley Ugochukwu']","['Gautier Larsonneur', 'Grégoire Coudert', 'Jean-Kevin Duverne', 'Romain Philippoteaux', 'Dénys Bain', 'Rafiki Said', 'Julien Faussurier', 'Jérémy Le Douaron', 'Noé Sow']","['Romain Salin', 'Serhou Guirassy', 'Eduardo Camavinga', 'Romain Del Castillo', 'Lorenz Assignon', 'Warmed Omari', 'Matthis Abline', 'Andy Diouf', 'Mathys Tel']",7,16,6,11,25,19,490,671,19,11,7,6,17,13,19,25,0,2,10,8,27,20,74,49,2,0,3,0
Ligue 1,Nantes,Metz,2,0,1.7,0.6,1/1/2000,0-1-1,"['Randal Kolo Muani', 'Ludovic Blas']",[],[],[],[],[],"['12’', '49’']",[],[],[],[],[],Antoine Kombouare,Frédéric Antonetti,Alban Lafont,Dylan Bronn,8/15/2021,15:00,12054,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Johan Hamel,Mathieu Grosbost,Valentin Evrard,Ludovic Genest,Pierre Gaillouste,4-2-3-1,3-5-1-1,"['Alban Lafont', 'Fábio', 'Andrei Girotto', 'Nicolas Pallois', 'Pedro Chirivella', 'Ludovic Blas', 'Dennis Appiah', 'Jean-Charles Castelletto', 'Randal Kolo Muani', 'Moses Simon', 'Renaud Emond']","['Alexandre Oukidja', 'Dylan Bronn', 'Matthieu Udol', ""Kévin N'Doram"", 'Ibrahima Niane', 'Vincent Pajot', 'Pape Matar Sarr', 'Thomas Delaine', 'Fabien Centonze', 'Habib Maïga', 'Amine Bassi']","['Rémy Descamps', 'Roli Pereira de Sa', 'Marcus Coco', 'Charles Traore', 'Samuel Moutoussamy', 'Sébastien Corchia', 'Osman Bukari', 'Quentin Merlin', 'Abdoulaye Sylla']","['Marc-Aurèle Caillard', 'Sikou Niakaté', 'Boubacar Traoré', 'Georges Mikautadze', 'Cheikh Tidiane Sabaly', 'Lamine Gueye', 'Sofiane Alakouch', 'Papa Ndiaga Yade', 'Vagner Gonçalves']",18,11,6,6,18,16,474,745,17,23,11,5,24,18,17,20,2,0,7,3,24,28,83,74,2,0,0,0
